id,league_id,name,short_name,logo_url,espn_id
super_rugby-25894,super_rugby,Melbourne Rebels,MEL,https://a.espncdn.com/i/teamlogos/rugby/teams/500/25894.png,25894
super_rugby-289319,super_rugby,Moana Pasifika,MOA,https://a.espncdn.com/i/teamlogos/rugby/teams/500/289319.png,289319
super_rugby-227,super_rugby,New South Wales Waratahs,NSW,https://a.espncdn.com/i/teamlogos/rugby/teams/500/227.png,227
super_rugby-182,super_rugby,Queensland Reds,QUE,https://a.espncdn.com/i/teamlogos/rugby/teams/500/182.png,182
super_rugby-25893,super_rugby,Western Force,WES,https://a.espncdn.com/i/teamlogos/rugby/teams/500/25893.png,25893
urc-25912,urc,Bayonne,BAY,,25912
urc-143737,urc,Bordeaux Begles,UNI,https://a.espncdn.com/i/teamlogos/rugby/teams/500/143737.png,143737
urc-25916,urc,Castres Olympique,CAS,https://a.espncdn.com/i/teamlogos/rugby/teams/500/25916.png,25916
urc-25917,urc,Clermont Auvergne,ASM,https://a.espncdn.com/i/teamlogos/rugby/teams/500/25917.png,25917
urc-119318,urc,La Rochelle,STA,https://a.espncdn.com/i/teamlogos/rugby/teams/500/119318.png,119318
urc-143736,urc,Lyon,LYO,https://a.espncdn.com/i/teamlogos/rugby/teams/500/143736.png,143736
urc-25918,urc,Montpellier Herault,MON,https://a.espncdn.com/i/teamlogos/rugby/teams/500/25918.png,25918
urc-190153,urc,Oyonnax,OYO,https://a.espncdn.com/i/teamlogos/rugby/teams/500/190153.png,190153
urc-270567,urc,Pau,SEC,https://a.espncdn.com/i/teamlogos/rugby/teams/500/270567.png,270567
urc-25920,urc,Perpignan,USA,https://a.espncdn.com/i/teamlogos/countries/500/usa.png,25920
urc-99855,urc,Racing 92,RAC,https://a.espncdn.com/i/teamlogos/rugby/teams/500/99855.png,99855
urc-25921,urc,Stade Francais Paris,STA,https://a.espncdn.com/i/teamlogos/rugby/teams/500/25921.png,25921
urc-25922,urc,Stade Toulousain,STA,https://a.espncdn.com/i/teamlogos/rugby/teams/500/25922.png,25922
urc-25986,urc,Toulon,RC,https://a.espncdn.com/i/teamlogos/rugby/teams/500/25986.png,25986
champions_cup-25898,champions_cup,Bath Rugby,BAT,https://a.espncdn.com/i/teamlogos/rugby/teams/500/25898.png,25898
champions_cup-25912,champions_cup,Bayonne,BAY,,25912
champions_cup-143737,champions_cup,Bordeaux Begles,UNI,https://a.espncdn.com/i/teamlogos/rugby/teams/500/143737.png,143737
champions_cup-25899,champions_cup,Bristol Rugby,BRI,,25899
champions_cup-25953,champions_cup,Bulls,BUL,https://a.espncdn.com/i/teamlogos/rugby/teams/500/25953.png,25953
champions_cup-25965,champions_cup,Cardiff Blues,CAR,https://a.espncdn.com/i/teamlogos/rugby/teams/500/25965.png,25965
champions_cup-25923,champions_cup,Connacht,CON,https://a.espncdn.com/i/teamlogos/rugby/teams/500/25923.png,25923
champions_cup-116227,champions_cup,Exeter Chiefs,EXE,https://a.espncdn.com/i/teamlogos/rugby/teams/500/116227.png,116227
champions_cup-25952,champions_cup,Glasgow Warriors,GLA,https://a.espncdn.com/i/teamlogos/rugby/teams/500/25952.png,25952
champions_cup-25901,champions_cup,Harlequins,HAR,https://a.espncdn.com/i/teamlogos/rugby/teams/500/25901.png,25901
champions_cup-119318,champions_cup,La Rochelle,STA,https://a.espncdn.com/i/teamlogos/rugby/teams/500/119318.png,119318
champions_cup-25903,champions_cup,Leicester Tigers,LEI,https://a.espncdn.com/i/teamlogos/rugby/teams/500/25903.png,25903
champions_cup-25924,champions_cup,Leinster,LEI,https://a.espncdn.com/i/teamlogos/rugby/teams/500/25924.png,25924
champions_cup-143736,champions_cup,Lyon,LYO,https://a.espncdn.com/i/teamlogos/rugby/teams/500/143736.png,143736
champions_cup-25925,champions_cup,Munster,MUN,https://a.espncdn.com/i/teamlogos/rugby/teams/500/25925.png,25925
champions_cup-25907,champions_cup,Northampton Saints,NOR,https://a.espncdn.com/i/teamlogos/rugby/teams/500/25907.png,25907
champions_cup-99855,champions_cup,Racing 92,RAC,https://a.espncdn.com/i/teamlogos/rugby/teams/500/99855.png,99855
champions_cup-25908,champions_cup,Sale Sharks,SAL,https://a.espncdn.com/i/teamlogos/rugby/teams/500/25908.png,25908
champions_cup-25909,champions_cup,Saracens,SAR,https://a.espncdn.com/i/teamlogos/rugby/teams/500/25909.png,25909
champions_cup-25921,champions_cup,Stade Francais Paris,STA,https://a.espncdn.com/i/teamlogos/rugby/teams/500/25921.png,25921
champions_cup-25922,champions_cup,Stade Toulousain,STA,https://a.espncdn.com/i/teamlogos/rugby/teams/500/25922.png,25922
champions_cup-25962,champions_cup,Stormers,STO,https://a.espncdn.com/i/teamlogos/rugby/teams/500/25962.png,25962
champions_cup-25986,champions_cup,Toulon,RC,https://a.espncdn.com/i/teamlogos/rugby/teams/500/25986.png,25986
champions_cup-25926,champions_cup,Ulster,ULS,https://a.espncdn.com/i/teamlogos/rugby/teams/500/25926.png,25926
